epoch,split,elapsed_seconds,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes,train_loss,test_loss,test_accuracy
1,train,90.23745369911194,1136222208,18459910144,201390104576,197349355520,4040749056,2.0,95246848,603979776,459867136,603979776,1.1014982660505563,,
1,test,10.674997806549072,1211731968,18529681408,201390104576,197288292352,4101812224,2.0,92035584,603979776,459867136,603979776,,0.6650799989700318,75.22
2,train,85.55512976646423,1223827456,18541723648,201390104576,197273096192,4117008384,2.0,95246848,603979776,459867136,603979776,0.6136664929134505,,
2,test,10.061537504196167,1223827456,18541723648,201390104576,197273358336,4116746240,2.0,92035584,603979776,459867136,603979776,,0.5312979271888733,80.64
3,train,84.35660934448242,1449074688,21407854592,201390104576,197062897664,4327206912,2.1,143315456,608174080,508492800,608174080,0.5301962600651581,,
3,test,10.139897346496582,1449086976,21407854592,201390104576,197063671808,4326432768,2.1,140431872,608174080,508492800,608174080,,0.4698048493862152,82.3
