epoch,train_loss,test_loss,test_accuracy
1,1.148793,0.742469,72.2600
2,0.649353,0.544707,80.0400
3,0.532324,0.506226,81.5200
4,0.469318,0.419496,84.4700
5,0.428420,0.390343,85.3500
6,0.397026,0.370882,86.4100
7,0.374740,0.348464,87.3500
8,0.352490,0.345535,87.4000
9,0.334911,0.324173,88.2800
10,0.318421,0.306597,88.9500
