case,final_accuracy_percent,avg_train_epoch_seconds,avg_test_epoch_seconds,max_gpu_allocated_bytes,max_gpu_allocated_mb,max_gpu_reserved_bytes,max_gpu_reserved_mb,avg_process_rss_bytes,avg_process_rss_mb,avg_system_ram_percent,total_parameters,trainable_parameters,optimizer_state_size_bytes,optimizer_state_size_mb,state_dict_size_bytes,state_dict_size_mb,onnx_size_bytes,onnx_size_mb,amp_enabled,autocast_dtype
baseline,85.07,85.07508463859558,10.145502996444701,459867136,438.5634765625,603979776,576.0,1214892441.6,1158.61171875,2.09,4376772,4376772,35014304,33.392242431640625,17518014,16.70648,17512005,16.700749,,
mixed_precision,84.62,86.84608416557312,10.387709760665894,293220864,279.63720703125,360710144,344.0,1224770355.2,1168.03203125,2.08,4376772,4376772,35014304,33.392242431640625,17518050,16.706514,17512005,16.700749,True,torch.float16
