epoch,split,elapsed_seconds,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes,train_loss,test_loss,test_accuracy
1,train,101.62141108512878,1198297088,19892404224,201390104576,197302751232,4087353344,2.0,95776768,840957952,722552320,840957952,1.7266231500772016,,
1,test,12.146324872970581,1255862272,19947003904,201390104576,197251829760,4138274816,2.1,92893184,840957952,722552320,840957952,,0.6233129267692565,75.86
2,train,99.60924768447876,1267933184,19959046144,201390104576,197230297088,4159807488,2.1,95776768,840957952,722552320,840957952,0.5175823085724927,,
2,test,12.038632154464722,1267937280,19959046144,201390104576,197227024384,4163080192,2.1,92893184,840957952,722552320,840957952,,0.4367798409461975,84.34
