epoch,train_loss,test_loss,test_accuracy,epoch_time_seconds
1,1.100406,0.667511,74.9700,89.095763
2,0.613367,0.536431,79.7300,87.671741
3,0.517638,0.486146,81.9500,83.885696
4,0.465242,0.434285,83.5100,84.979175
5,0.426767,0.389839,85.4000,84.730743
6,0.396782,0.385269,85.8600,85.053374
7,0.370187,0.358089,87.0900,84.388721
8,0.348763,0.336247,87.8800,84.255179
9,0.328746,0.315896,88.6300,83.124653
10,0.309989,0.309739,88.7300,84.196543
