epoch,split,elapsed_seconds,process_rss_bytes,process_vms_bytes,system_total_ram_bytes,system_available_ram_bytes,system_used_ram_bytes,system_ram_percent,gpu_allocated_bytes,gpu_reserved_bytes,gpu_max_allocated_bytes,gpu_max_reserved_bytes,train_loss,test_loss,test_accuracy
1,train,87.86428380012512,1119817728,18443739136,201390104576,197321379840,4068724736,2.0,95246848,603979776,459867136,603979776,1.1042485307338141,,
1,test,10.197439670562744,1209118720,18527326208,201390104576,197246545920,4143558656,2.1,92035584,603979776,459867136,603979776,,0.6841084234237671,74.1
2,train,85.85429954528809,1191542784,18509860864,201390104576,197272653824,4117450752,2.0,95246848,603979776,459867136,603979776,0.627049541073059,,
2,test,10.091346263885498,1209827328,18528124928,201390104576,197255028736,4135075840,2.1,92035584,603979776,459867136,603979776,,0.5512868783473969,79.87
